csv_file,lifecycle_group,rotation_policy,retention_policy,compression_policy,restart_safety,reason,dependency_summary,architect_notes
position_state.csv,STATE,NEVER_ROTATE,KEEP_FOREVER,NO,CRITICAL,State/restart/idempotency artifact. Must remain continuously available at canonical path for recovery safety.,Used for live position state and restart recovery.,Never rotate until a separately validated state snapshot/restore mechanism exists.
fired_setups.csv,STATE,NEVER_ROTATE,KEEP_FOREVER,NO,CRITICAL,State/restart/idempotency artifact. Must remain continuously available at canonical path for recovery safety.,Used for idempotency and duplicate setup prevention.,Never rotate because missing history can reopen already-fired identities.
terminal_lifecycle_registry.csv,STATE,NEVER_ROTATE,KEEP_FOREVER,NO,CRITICAL,State/restart/idempotency artifact. Must remain continuously available at canonical path for recovery safety.,Used as lifecycle terminal registry / identity state reference.,Never rotate until terminal lifecycle state is decoupled from append history.
visible_ts_cache.csv,CACHE,NEVER_ROTATE,KEEP_FOREVER,NO,CRITICAL,Cache participates in visibility/restart continuity. Must remain at canonical path.,Used to preserve visible_ts cache across runs.,Never rotate while live restart depends on the canonical cache file.
live_observation_entries.csv,REPLAY,ROTATE_AFTER_RUNTIME_VALIDATION,KEEP_180_DAYS,ZIP_AFTER_ROTATION,IMPORTANT,Replay currently depends on a continuously growing observation dataset; rotation requires replay decoupling first.,Observation dataset is live telemetry and replay input.,Runtime validation must prove replay reads canonical/current plus rotated history correctly before enabling rotation.
pressure_window_summary.csv,SUMMARY,ROTATE_AFTER_RUNTIME_VALIDATION,KEEP_180_DAYS,ZIP_AFTER_ROTATION,IMPORTANT,Current implementation may still participate in live summary generation; dependencies must be verified before rotation.,Summary/rebuild artifact derived from raw candidate diagnostics.,Do not rotate until summary rebuild/read dependencies are proven safe.
flow_log.csv,APPEND_ONLY,ROTATE_DAILY,KEEP_90_DAYS,ZIP_AFTER_ROTATION,SAFE,Append-only diagnostic telemetry. Safe candidate for future daily rotation after runtime validation because it does not participate in trading decisions.,Diagnostic append/write evidence only; no restart-critical dependency identified in approved design.,Eligible rotation candidate only when runtime rotation engine is explicitly enabled in a later patch.
raw_candidate_lifecycle_diag.csv,APPEND_ONLY,ROTATE_DAILY,KEEP_90_DAYS,ZIP_AFTER_ROTATION,SAFE,Append-only diagnostic telemetry. Safe candidate for future daily rotation after runtime validation because it does not participate in trading decisions.,Diagnostic append/write evidence only; no restart-critical dependency identified in approved design.,Eligible rotation candidate only when runtime rotation engine is explicitly enabled in a later patch.
entry_model_pre_admission.csv,APPEND_ONLY,ROTATE_DAILY,KEEP_90_DAYS,ZIP_AFTER_ROTATION,SAFE,Append-only diagnostic telemetry. Safe candidate for future daily rotation after runtime validation because it does not participate in trading decisions.,Diagnostic append/write evidence only; no restart-critical dependency identified in approved design.,Eligible rotation candidate only when runtime rotation engine is explicitly enabled in a later patch.
sniper_candidate_diag.csv,APPEND_ONLY,ROTATE_DAILY,KEEP_90_DAYS,ZIP_AFTER_ROTATION,SAFE,Append-only diagnostic telemetry. Safe candidate for future daily rotation after runtime validation because it does not participate in trading decisions.,Diagnostic append/write evidence only; no restart-critical dependency identified in approved design.,Eligible rotation candidate only when runtime rotation engine is explicitly enabled in a later patch.
opportunity_manager_snapshot.csv,APPEND_ONLY,ROTATE_DAILY,KEEP_90_DAYS,ZIP_AFTER_ROTATION,SAFE,Append-only diagnostic telemetry. Safe candidate for future daily rotation after runtime validation because it does not participate in trading decisions.,Diagnostic append/write evidence only; no restart-critical dependency identified in approved design.,Eligible rotation candidate only when runtime rotation engine is explicitly enabled in a later patch.
