safety_id,mechanism,layer_or_module,authority_type,input_or_trigger,allow_effect,block_effect,persistence,observable_evidence,fail_closed_status,restart_safe,current_classification
ESI-001,ATS strategic execution authority,ATS authority pipeline,strategic,"authorized execution intent",authorizes downstream consideration,rejects setup before executor,ATS-owned,"ATS intent and authority identifiers",NOT_PROVEN,NOT_PROVEN,NOT_PROVEN_FROM_CURRENT_HEAD
ESI-002,ATS policy kill switch,backtest/risk/policy_engine.py,strategic,"evaluate_policy_kill_switch / rolling_r_guard",may allow ATS intent emission,blocks ATS execution permission,unknown,current ATS telemetry not supplied,NOT_PROVEN,NOT_PROVEN,PARTIALLY_IDENTIFIED
ESI-003,Decision completeness validation,decision_consumer.py,mechanical,"ExecutionIntent required fields",returns immutable ValidatedExecutionIntent,rejects malformed intent,none,exception/result object,YES,N_A,PROVEN
ESI-004,Executor mode check,mechanical_safety_bridge.py,mechanical,"executor_mode",permits DRY_RUN or MUTATION_ENABLED,blocks unsupported/empty mode,none,MechanicalSafetyResult,YES,YES_IF_REAPPLIED,PROVEN
ESI-005,Executor kill-switch marker,mechanical_safety_bridge.py,mechanical,"configured kill_switch_path exists",none,CRITICAL block,filesystem marker,MechanicalSafetyResult,YES_IF_CONFIGURED,YES_IF_SAME_PATH_REAPPLIED,PRESENT_BUT_OPTIONAL
ESI-006,Intent expiry,mechanical_safety_bridge.py,mechanical,"entry_window_expires_ts",allows unexpired intent,blocks expired/invalid expiry,none,MechanicalSafetyResult,YES_IF_FIELD_PRESENT,YES_IF_REAPPLIED,PRESENT
ESI-007,Geometry and identity validation,mechanical_safety_bridge.py,mechanical,"key/symbol/model/side/entry/sl/tp",allows valid geometry,blocks malformed geometry/identity,none,MechanicalSafetyResult,YES,YES_IF_REAPPLIED,PROVEN
ESI-008,Executor-local risk upper bound,mechanical_safety_bridge.py,mechanical_guardrail,"max_authorized_risk_usd",allows below cap,blocks above cap,none,MechanicalSafetyResult,YES_IF_CONFIGURED,YES_IF_REAPPLIED,PRESENT_NOT_ATS_RISK
ESI-009,Executor-local notional upper bound,mechanical_safety_bridge.py,mechanical_guardrail,"max_authorized_notional",allows below cap,blocks above cap,none,MechanicalSafetyResult,YES_IF_CONFIGURED,YES_IF_REAPPLIED,PRESENT_NOT_ATS_RISK
ESI-010,Pending identity check,mechanical_safety_bridge.py,mechanical,"pending_identity_keys",allows absent identity,blocks present identity,caller-supplied,MechanicalSafetyResult,YES_IF_SUPPLIED,NOT_PROVEN,PRESENT_OPTIONAL
ESI-011,Execution identity registry,execution_identity_registry.py,idempotency,"canonical_setup_key",allows first session attempt,blocks repeat session attempt,in-memory,IdempotencyResult,YES_WITHIN_SESSION,NO,PROVEN_SESSION_ONLY
ESI-012,Quantity floor conversion,quantity_converter.py,mechanical_formatting,"authorized quantity/exposure + exchange rules",returns ExchangeReadyIntent,rejects impossible/minimum quantity,none,immutable result,YES,YES_IF_REAPPLIED,PROVEN
